Name                   ,College          ,Team
"Adams, Steven"        ,Pittsburgh       ,Memphis Grizzlies
"Adebayo, Bam"         ,Kentucky         ,Miami Heat
"Aldridge, LaMarcus"   ,Texas            ,Brooklyn Nets
"Allen, Jarrett"       ,Texas            ,Cleveland Cavaliers
"Ayton, Deandre"       ,Arizona          ,Phoenix Suns
"Azubuike, Udoka"      ,Kansas           ,Utah Jazz
"Bamba, Mo"            ,Texas            ,Orlando Magic
"Bassey, Charles"      ,Western Kentucky ,Philadelphia 76ers
"Birch, Khem"          ,UNLV             ,Toronto Raptors
"Bitadze, Goga"        ,                 ,Indiana Pacers
"Biyombo, Bismack"     ,                 ,Phoenix Suns
"Bol, Bol"             ,Oregon           ,Orlando Magic
"Bradley, Tony"        ,North Carolina   ,Chicago Bulls
"Brown, Moses"         ,UCLA             ,Cleveland Cavaliers
"Bryant, Thomas"       ,Indiana          ,Washington Wizards
"Capela, Clint"        ,                 ,Atlanta Hawks
"Carey Jr., Vernon"    ,Duke             ,Washington Wizards
"Carter Jr., Wendell"  ,Duke             ,Orlando Magic
"Cousins, DeMarcus"    ,Kentucky         ,Denver Nuggets
"Davis, Ed"            ,North Carolina   ,Cleveland Cavaliers
"Dedmon, Dewayne"      ,USC              ,Miami Heat
"Dieng, Gorgui"        ,Louisville       ,Atlanta Hawks
"Drummond, Andre"      ,Connecticut      ,Brooklyn Nets
"Embiid, Joel"         ,Kansas           ,Philadelphia 76ers
"Favors, Derrick"      ,Georgia Tech     ,Oklahoma City Thunder
"Gafford, Daniel"      ,Arkansas         ,Washington Wizards
"Garza, Luka"          ,Iowa             ,Detroit Pistons
"Gibson, Taj"          ,USC              ,New York Knicks
"Gobert, Rudy"         ,                 ,Utah Jazz
"Harrell, Montrezl"    ,Louisville       ,Charlotte Hornets
"Hartenstein, Isaiah"  ,                 ,LA Clippers
"Hayes, Jaxson"        ,Texas            ,New Orleans Pelicans
"Hernangomez, Willy"   ,                 ,New Orleans Pelicans
"Holmes, Richaun"      ,Bowling Green    ,Sacramento Kings
"Horford, Al"          ,Florida          ,Boston Celtics
"Howard, Dwight"       ,                 ,Los Angeles Lakers
"Ibaka, Serge"         ,                 ,Milwaukee Bucks
"Jokic, Nikola"        ,                 ,Denver Nuggets
"Jones, Damian"        ,Vanderbilt       ,Sacramento Kings
"Jordan, DeAndre"      ,Texas A&M        ,Philadelphia 76ers
"Landale, Jock"        ,Saint Mary's     ,San Antonio Spurs
"Len, Alex"            ,Maryland         ,Sacramento Kings
"Looney, Kevon"        ,UCLA             ,Golden State Warriors
"Lopez, Brook"         ,Stanford         ,Milwaukee Bucks
"Lopez, Robin"         ,Stanford         ,Orlando Magic
"Marjanovic, Boban"    ,                 ,Dallas Mavericks
"McGee, JaVale"        ,Nevada           ,Phoenix Suns
"Mobley, Evan"         ,USC              ,Cleveland Cavaliers
"Monroe, Greg"         ,Georgetown       ,Minnesota Timberwolves
"Muscala, Mike"        ,Bucknell         ,Oklahoma City Thunder
"Noel, Nerlens"        ,Kentucky         ,New York Knicks
"Nurkic, Jusuf"        ,                 ,Portland Trail Blazers
"Plumlee, Mason"       ,Duke             ,Charlotte Hornets
"Poeltl, Jakob"        ,Utah             ,San Antonio Spurs
"Pokusevski, Aleksej"  ,                 ,Oklahoma City Thunder
"Portis, Bobby"        ,Arkansas         ,Milwaukee Bucks
"Porzingis, Kristaps"  ,                 ,Washington Wizards
"Powell, Dwight"       ,Stanford         ,Dallas Mavericks
"Queta, Neemias"       ,Utah State       ,Sacramento Kings
"Reid, Naz"            ,LSU              ,Minnesota Timberwolves
"Richards, Nick"       ,Kentucky         ,Charlotte Hornets
"Robinson, Mitchell"   ,                 ,New York Knicks
"Sengun, Alperen"      ,                 ,Houston Rockets
"Sharpe, Day'Ron"      ,North Carolina   ,Brooklyn Nets
"Simonovic, Marko"     ,                 ,Chicago Bulls
"Stewart, Isaiah"      ,Washington       ,Detroit Pistons
"Theis, Daniel"        ,                 ,Boston Celtics
"Thompson, Tristan"    ,Texas            ,Chicago Bulls
"Tillman, Xavier"      ,Michigan State   ,Memphis Grizzlies
"Towns, Karl-Anthony"  ,Kentucky         ,Minnesota Timberwolves
"Turner, Myles"        ,Texas            ,Indiana Pacers
"Valanciunas, Jonas"   ,                 ,New Orleans Pelicans
"Vucevic, Nikola"      ,USC              ,Chicago Bulls
"Wagner, Moritz"       ,Michigan         ,Orlando Magic
"Whiteside, Hassan"    ,Marshall         ,Utah Jazz
"Williams III, Robert" ,Texas A&M        ,Boston Celtics
"Wiseman, James"       ,Memphis          ,Golden State Warriors
"Wood, Christian"      ,UNLV             ,Houston Rockets
"Yurtseven, Omer"      ,Georgetown       ,Miami Heat
"Zeller, Cody"         ,Indiana          ,Portland Trail Blazers
